,COVID Status,Gender,Race,Hispanic or Latino/A,Age,Trust in science (1-5 scale with 5 indicating most trust),Level of religious commitment (1-10 scale with 10 indicating highest trust),Political orientation (1-10 scale with 10 indicating most conservative and 1 indicating most liberal),How serious would it be for you if you contract COVID-19 in the next year? (1-10 scale with 10 being most serious),How confident are you that you can prevent getting COVID-19 in case of an outbreak? (1-5 scale with 5 being very confident),Please indicate your level of agreement with this statement: ‘My family and friends avoid crowded areas.’ (1-7 scale with 7 being strongly agree),I intend to get vaccinated for COVID-19 when the vaccine becomes available to me. (1-7 scale with 7 being Likely and 1 being Unlikely)
283,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,11,3,4,4,8,2,7,4
284,Had COVID,Male,White,Not Hispanic or Latino/A,35,5,4,7,9,2,7,7
285,Hasn't had COVID,Male,Asian,Not Hispanic or Latino/A,44,2,10,2,6,2,5,4
286,Had COVID,Female,White,Not Hispanic or Latino/A,28,2,4,5,6,5,7,4
287,Hasn't had COVID,Male,Black or African American,Not Hispanic or Latino/A,26,5,5,2,6,1,4,6
288,Hasn't had COVID,Female,Other,Not Hispanic or Latino/A,37,4,2,3,8,3,4,6
289,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,22,2,3,2,6,4,6,4
290,Hasn't had COVID,Male,Black or African American,Not Hispanic or Latino/A,49,5,3,1,3,2,4,5
291,Hasn't had COVID,Male,Asian,Not Hispanic or Latino/A,20,5,2,6,7,4,3,7
292,Hasn't had COVID,Female,Asian,Hispanic or Latino/A,33,3,2,4,10,5,7,6
293,Hasn't had COVID,Female,White,Hispanic or Latino/A,38,1,5,1,8,5,3,3
294,Hasn't had COVID,Male,White,Hispanic or Latino/A,26,5,3,2,9,4,5,7
295,Hasn't had COVID,Male,Asian,Not Hispanic or Latino/A,55,3,5,3,7,5,3,5
296,Had COVID,Male,White,Not Hispanic or Latino/A,29,2,4,5,8,4,6,4
297,Hasn't had COVID,Female,White,Hispanic or Latino/A,20,5,5,1,6,3,3,7
298,Had COVID,Male,White,Not Hispanic or Latino/A,44,4,6,3,6,3,5,6
299,Had COVID,Female,White,Not Hispanic or Latino/A,34,3,7,5,8,1,5,5
300,Hasn't had COVID,Male,Other,Hispanic or Latino/A,52,5,5,3,10,3,6,7
301,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,42,3,4,2,7,3,7,5
302,Hasn't had COVID,Male,Other,Not Hispanic or Latino/A,41,4,5,3,4,3,7,5
303,Hasn't had COVID,Male,White,Hispanic or Latino/A,55,5,2,2,3,2,7,7
304,Hasn't had COVID,Male,Black or African American,Not Hispanic or Latino/A,50,5,4,4,8,2,4,6
305,Hasn't had COVID,Female,White,Hispanic or Latino/A,41,3,8,2,9,5,7,6
306,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,27,5,3,1,5,1,4,6
307,Hasn't had COVID,Female,Black or African American,Hispanic or Latino/A,64,3,6,1,9,1,5,5
308,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,17,3,3,4,10,3,6,4
309,Had COVID,Female,White,Hispanic or Latino/A,43,1,3,4,8,1,5,3
310,Hasn't had COVID,Male,White,Hispanic or Latino/A,42,5,1,3,9,5,7,7
311,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,55,1,6,5,4,1,6,2
312,Had COVID,Female,White,Not Hispanic or Latino/A,29,5,7,1,4,2,2,7
313,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,28,2,3,4,6,3,3,3
314,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,33,3,8,3,6,1,1,4
315,Hasn't had COVID,Male,Black or African American,Not Hispanic or Latino/A,15,3,5,2,5,2,7,4
316,Hasn't had COVID,Female,White,Hispanic or Latino/A,23,5,1,1,5,4,4,7
317,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,55,3,8,1,8,2,7,6
318,Had COVID,Male,White,Hispanic or Latino/A,52,3,6,1,8,5,5,6
319,Hasn't had COVID,Male,Asian,Not Hispanic or Latino/A,46,1,5,7,7,3,7,3
320,Hasn't had COVID,Female,White,Hispanic or Latino/A,27,1,3,5,9,5,7,3
321,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,51,5,3,2,10,2,3,7
322,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,50,5,4,1,4,5,7,7
323,Hasn't had COVID,Male,Other,Hispanic or Latino/A,60,2,2,3,9,4,7,4
324,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,46,2,3,2,7,2,7,4
325,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,54,1,1,3,6,4,6,3
326,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,52,5,5,1,9,3,3,7
327,Hasn't had COVID,Male,White,Hispanic or Latino/A,12,3,4,1,9,3,5,6
328,Hasn't had COVID,Male,Asian,Not Hispanic or Latino/A,30,3,4,3,4,3,4,5
329,Hasn't had COVID,Male,White,Hispanic or Latino/A,19,1,5,3,9,5,7,3
330,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,38,3,3,4,6,2,7,5
331,Hasn't had COVID,Female,White,Hispanic or Latino/A,26,2,1,2,6,4,5,4
332,Hasn't had COVID,Female,Other,Not Hispanic or Latino/A,48,4,4,2,10,3,6,7
333,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,36,1,3,1,10,4,5,3
334,Hasn't had COVID,Male,Asian,Not Hispanic or Latino/A,32,2,7,2,6,1,4,4
335,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,11,3,3,4,8,3,3,5
336,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,43,5,8,1,6,5,6,7
337,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,63,1,8,4,5,4,2,2
338,Hasn't had COVID,Female,White,Hispanic or Latino/A,19,3,6,7,9,4,5,5
339,Hasn't had COVID,Male,Black or African American,Not Hispanic or Latino/A,58,3,3,4,1,5,7,3
340,Hasn't had COVID,Non-Binary or Transgender,Asian,Hispanic or Latino/A,46,2,1,3,8,2,7,5
341,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,51,2,3,1,10,3,7,5
342,Hasn't had COVID,Male,White,Hispanic or Latino/A,54,4,7,1,7,1,4,6
343,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,19,1,4,3,6,1,7,3
344,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,20,3,9,4,10,2,7,6
345,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,34,3,8,2,6,4,7,5
346,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,33,3,4,3,10,5,7,6
347,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,37,1,5,1,10,2,6,4
348,Hasn't had COVID,Male,Asian,Hispanic or Latino/A,64,4,4,3,6,1,5,6
349,Had COVID,Female,White,Not Hispanic or Latino/A,34,1,5,2,5,2,3,3
350,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,32,1,4,1,8,4,7,3
351,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,52,1,4,3,7,5,5,3
352,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,24,5,3,2,9,2,1,7
353,Hasn't had COVID,Male,Black or African American,Not Hispanic or Latino/A,31,5,3,1,10,4,2,6
354,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,47,4,5,2,5,5,4,5
355,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,6,3,4,2,8,2,6,5
356,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,39,3,6,3,7,3,7,4
357,Had COVID,Female,White,Not Hispanic or Latino/A,39,1,7,3,5,5,7,3
358,Hasn't had COVID,Male,Black or African American,Not Hispanic or Latino/A,22,5,2,1,9,4,2,6
359,Hasn't had COVID,Female,Asian,Hispanic or Latino/A,39,5,3,4,8,4,7,7
360,Hasn't had COVID,Male,Black or African American,Not Hispanic or Latino/A,42,3,5,3,7,1,4,4
361,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,58,2,10,2,8,5,4,4
362,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,12,3,4,1,5,5,7,5
363,Hasn't had COVID,Female,White,Hispanic or Latino/A,46,5,5,1,5,3,7,7
364,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,15,5,5,2,10,4,7,7
365,Hasn't had COVID,Male,Asian,Not Hispanic or Latino/A,55,4,3,2,6,2,5,6
366,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,25,5,6,6,8,2,4,7
367,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,61,1,4,2,10,5,7,4
368,Had COVID,Male,White,Hispanic or Latino/A,27,4,4,5,5,2,5,6
369,Hasn't had COVID,Female,White,Hispanic or Latino/A,25,3,5,5,7,3,1,4
370,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,17,2,1,4,10,4,5,4
371,Hasn't had COVID,Male,Black or African American,Not Hispanic or Latino/A,41,3,3,1,10,5,2,4
372,Hasn't had COVID,Non-Binary or Transgender,Asian,Not Hispanic or Latino/A,39,5,4,1,10,3,3,7
373,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,41,4,3,2,7,2,1,6
374,Had COVID,Male,Other,Not Hispanic or Latino/A,44,5,2,2,4,3,1,6
375,Hasn't had COVID,Female,White,Hispanic or Latino/A,20,5,3,2,3,1,6,7
376,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,57,2,3,3,4,3,3,3
377,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,48,4,2,4,10,5,3,5
378,Hasn't had COVID,Male,White,Hispanic or Latino/A,31,4,2,3,9,1,7,7
379,Hasn't had COVID,Female,Other,Not Hispanic or Latino/A,55,5,1,3,8,1,7,7
380,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,16,5,1,5,5,3,2,6
381,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,28,3,6,3,9,3,5,5
382,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,54,3,2,3,7,5,7,5
383,Had COVID,Female,White,Not Hispanic or Latino/A,24,3,2,2,6,3,4,5
384,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,19,5,3,6,7,2,7,7
385,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,44,2,3,3,8,4,6,4
386,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,20,3,4,1,6,1,3,5
387,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,37,5,2,5,4,3,7,5
388,Hasn't had COVID,Male,White,Hispanic or Latino/A,40,5,8,6,4,1,4,6
389,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,39,5,4,3,5,2,2,6
390,Hasn't had COVID,Male,Asian,Not Hispanic or Latino/A,49,4,5,4,10,4,5,7
391,Hasn't had COVID,Male,Asian,Hispanic or Latino/A,14,5,4,5,10,5,7,7
392,Had COVID,Male,Asian,Not Hispanic or Latino/A,24,5,6,2,3,1,5,7
393,Hasn't had COVID,Male,White,Hispanic or Latino/A,59,5,6,2,6,5,4,7
394,Had COVID,Male,White,Not Hispanic or Latino/A,45,2,1,5,4,5,2,3
395,Hasn't had COVID,Male,White,Hispanic or Latino/A,55,2,1,4,6,4,3,3
396,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,58,3,3,6,5,3,5,4
397,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,62,5,8,2,6,2,4,7
398,Had COVID,Male,White,Not Hispanic or Latino/A,56,1,3,3,7,1,7,3
399,Hasn't had COVID,Female,White,Hispanic or Latino/A,51,5,6,4,9,1,7,7
400,Had COVID,Male,White,Not Hispanic or Latino/A,33,4,5,4,7,5,4,6
401,Had COVID,Male,White,Not Hispanic or Latino/A,36,3,3,1,6,4,5,5
402,Hasn't had COVID,Male,Black or African American,Not Hispanic or Latino/A,45,2,4,4,8,3,7,3
403,Hasn't had COVID,Male,Other,Hispanic or Latino/A,45,3,6,3,8,3,3,5
404,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,33,5,5,4,9,1,5,7
405,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,26,1,4,2,8,2,5,3
406,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,44,5,2,4,8,5,2,7
407,Had COVID,Male,White,Not Hispanic or Latino/A,27,4,4,5,7,5,5,6
408,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,21,3,5,4,10,2,6,6
409,Hasn't had COVID,Female,White,Hispanic or Latino/A,43,4,2,4,8,3,2,6
410,Hasn't had COVID,Female,White,Hispanic or Latino/A,25,5,2,6,5,2,4,6
411,Hasn't had COVID,Male,White,Hispanic or Latino/A,51,5,1,4,10,3,7,7
412,Had COVID,Male,White,Not Hispanic or Latino/A,37,5,6,4,2,3,7,6
413,Hasn't had COVID,Male,Other,Not Hispanic or Latino/A,43,4,1,5,4,2,7,5
414,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,55,2,4,1,7,1,7,4
415,Hasn't had COVID,Male,Asian,Hispanic or Latino/A,26,5,7,2,10,4,7,7
416,Had COVID,Female,White,Not Hispanic or Latino/A,25,5,3,2,9,3,6,7
417,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,50,5,4,2,9,3,7,7
418,Had COVID,Male,Black or African American,Not Hispanic or Latino/A,33,4,4,3,7,3,5,5
419,Had COVID,Male,White,Not Hispanic or Latino/A,51,4,5,1,7,4,6,7
420,Hasn't had COVID,Female,White,Hispanic or Latino/A,61,3,7,7,10,3,3,5
421,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,43,5,5,1,8,2,3,7
422,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,46,3,4,3,8,2,7,6
423,Hasn't had COVID,Male,White,Hispanic or Latino/A,7,5,1,2,9,3,5,7
424,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,39,3,3,7,6,1,3,4
425,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,29,5,4,2,5,1,4,7
426,Hasn't had COVID,Non-Binary or Transgender,White,Not Hispanic or Latino/A,62,3,3,1,8,3,7,6
427,Hasn't had COVID,Female,White,Hispanic or Latino/A,37,4,4,3,6,4,5,6
428,Hasn't had COVID,Non-Binary or Transgender,White,Not Hispanic or Latino/A,39,5,3,4,8,5,3,7
429,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,20,5,1,2,6,2,7,7
430,Hasn't had COVID,Male,Black or African American,Hispanic or Latino/A,17,2,3,2,10,3,7,4
431,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,21,5,5,3,4,2,4,6
432,Hasn't had COVID,Female,White,Hispanic or Latino/A,73,4,4,4,8,1,7,7
433,Had COVID,Female,White,Not Hispanic or Latino/A,38,5,3,4,3,4,2,6
434,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,27,4,5,1,3,4,5,5
435,Hasn't had COVID,Female,Other,Not Hispanic or Latino/A,25,5,9,3,10,4,7,7
436,Hasn't had COVID,Female,Black or African American,Hispanic or Latino/A,23,5,2,3,10,5,5,7
437,Had COVID,Female,Asian,Not Hispanic or Latino/A,29,2,4,3,5,2,5,4
438,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,29,5,3,2,8,2,4,7
439,Had COVID,Male,White,Not Hispanic or Latino/A,33,5,3,3,6,3,5,7
440,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,36,5,4,4,4,5,6,5
441,Had COVID,Male,White,Hispanic or Latino/A,31,4,3,7,10,2,7,7
442,Hasn't had COVID,Non-Binary or Transgender,White,Hispanic or Latino/A,61,5,7,5,3,4,6,6
443,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,45,4,6,5,3,2,7,5
444,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,34,1,3,4,3,3,4,1
445,Hasn't had COVID,Male,Asian,Not Hispanic or Latino/A,52,4,6,5,4,1,7,6
446,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,45,3,7,4,3,3,7,4
447,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,11,5,5,1,8,4,5,7
448,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,60,5,4,2,10,2,4,7
449,Had COVID,Male,Black or African American,Not Hispanic or Latino/A,48,5,4,4,10,5,6,7
450,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,48,5,4,4,10,4,4,7
451,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,46,5,9,2,3,2,5,6
452,Hasn't had COVID,Male,Asian,Hispanic or Latino/A,36,4,5,1,6,2,6,7
453,Had COVID,Female,Asian,Hispanic or Latino/A,52,5,3,2,8,4,6,7
454,Hasn't had COVID,Non-Binary or Transgender,Black or African American,Not Hispanic or Latino/A,49,5,7,1,8,4,7,7
455,Hasn't had COVID,Female,White,Hispanic or Latino/A,28,4,3,2,7,4,6,6
456,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,39,3,2,2,4,5,6,4
457,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,30,4,2,2,9,3,7,7
458,Hasn't had COVID,Male,White,Hispanic or Latino/A,27,3,2,1,10,5,7,6
459,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,39,5,7,3,7,3,4,7
460,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,23,2,2,1,8,5,7,4
461,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,19,2,3,6,3,4,7,3
462,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,51,5,3,3,6,1,5,7
463,Had COVID,Male,White,Not Hispanic or Latino/A,61,4,3,1,10,3,7,7
464,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,36,4,7,6,8,4,6,6
465,Had COVID,Male,Asian,Hispanic or Latino/A,39,4,3,6,3,3,5,6
466,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,17,5,2,4,10,3,7,7
467,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,57,5,7,3,6,5,4,7
468,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,61,4,7,5,7,4,6,6
469,Had COVID,Male,White,Not Hispanic or Latino/A,29,1,6,4,10,3,5,4
470,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,29,3,1,5,9,2,6,6
471,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,31,4,2,5,7,1,4,6
472,Had COVID,Female,Black or African American,Not Hispanic or Latino/A,49,1,2,6,9,5,7,2
473,Hasn't had COVID,Male,Asian,Not Hispanic or Latino/A,36,5,2,4,9,3,7,7
474,Had COVID,Male,Black or African American,Not Hispanic or Latino/A,31,2,3,4,4,1,3,2
475,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,46,4,4,2,7,2,6,6
476,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,79,3,6,3,7,4,7,5
477,Hasn't had COVID,Female,White,Hispanic or Latino/A,51,5,8,5,10,1,6,7
478,Hasn't had COVID,Male,White,Hispanic or Latino/A,24,5,6,3,6,5,6,7
479,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,38,5,2,2,4,1,2,5
480,Hasn't had COVID,Male,Black or African American,Not Hispanic or Latino/A,30,5,2,5,10,3,4,6
481,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,24,1,5,3,2,2,5,2
482,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,59,3,7,1,4,3,7,5
483,Hasn't had COVID,Male,White,Hispanic or Latino/A,32,4,6,2,5,3,5,6
484,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,45,5,2,3,6,3,5,7
485,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,59,5,6,5,8,3,6,6
486,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,24,5,4,3,4,5,3,6
487,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,45,1,5,3,6,1,6,3
488,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,48,4,3,1,6,3,3,6
489,Had COVID,Male,Asian,Not Hispanic or Latino/A,26,5,4,1,5,3,4,7
490,Hasn't had COVID,Female,White,Hispanic or Latino/A,44,3,1,1,5,1,3,5
491,Hasn't had COVID,Male,Black or African American,Not Hispanic or Latino/A,47,3,6,2,8,4,2,4
492,Hasn't had COVID,Male,White,Hispanic or Latino/A,30,2,8,4,6,3,4,4
493,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,29,1,5,3,4,2,4,2
494,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,31,2,4,2,10,2,5,4
495,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,51,5,3,1,4,2,4,7
496,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,32,4,3,5,10,1,6,6
497,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,48,2,5,9,8,1,7,3
498,Hasn't had COVID,Non-Binary or Transgender,White,Not Hispanic or Latino/A,59,5,5,4,10,5,4,7
499,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,44,2,1,3,4,5,7,3
500,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,53,5,6,1,8,1,7,7
501,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,22,2,3,2,6,5,1,4
502,Hasn't had COVID,Female,Other,Hispanic or Latino/A,42,2,2,1,9,1,5,5
503,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,49,2,1,2,5,2,7,3
504,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,26,1,5,6,6,3,3,2
505,Hasn't had COVID,Male,Asian,Not Hispanic or Latino/A,21,2,8,3,8,1,4,4
506,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,52,1,2,3,10,1,7,4
507,Hasn't had COVID,Male,White,Hispanic or Latino/A,44,5,4,6,10,4,4,7
508,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,57,4,2,3,10,4,7,7
509,Had COVID,Female,Black or African American,Not Hispanic or Latino/A,40,3,4,1,5,3,7,4
510,Hasn't had COVID,Female,White,Hispanic or Latino/A,31,3,4,5,6,4,3,4
511,Hasn't had COVID,Female,White,Hispanic or Latino/A,56,1,2,2,9,1,3,3
512,Hasn't had COVID,Male,White,Hispanic or Latino/A,26,1,3,5,10,1,5,3
513,Hasn't had COVID,Female,White,Hispanic or Latino/A,32,4,7,4,5,1,6,6
514,Hasn't had COVID,Female,White,Hispanic or Latino/A,59,5,5,2,7,2,4,7
515,Hasn't had COVID,Female,Asian,Hispanic or Latino/A,47,4,2,1,6,5,2,6
516,Hasn't had COVID,Female,Other,Not Hispanic or Latino/A,75,5,5,2,5,4,7,7
517,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,58,5,2,3,3,1,2,6
518,Had COVID,Male,White,Not Hispanic or Latino/A,13,4,3,2,10,3,7,7
519,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,63,3,4,3,4,4,5,4
520,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,29,3,5,5,5,5,4,4
521,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,12,2,5,2,7,1,6,3
522,Hasn't had COVID,Female,White,Hispanic or Latino/A,37,2,1,2,6,4,7,4
523,Had COVID,Female,Asian,Not Hispanic or Latino/A,10,3,4,5,7,5,7,5
524,Hasn't had COVID,Female,Asian,Hispanic or Latino/A,18,3,2,5,3,2,4,4
525,Hasn't had COVID,Male,Asian,Not Hispanic or Latino/A,36,3,4,3,5,1,2,5
526,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,44,3,1,4,4,3,3,4
527,Hasn't had COVID,Male,Black or African American,Not Hispanic or Latino/A,58,5,3,3,4,4,7,5
528,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,28,4,2,1,7,2,5,6
529,Hasn't had COVID,Non-Binary or Transgender,White,Not Hispanic or Latino/A,47,5,2,4,10,2,5,7
530,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,59,5,5,3,7,2,4,7
531,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,44,1,7,1,2,5,5,2
532,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,30,5,6,7,6,1,4,6
533,Hasn't had COVID,Female,Asian,Hispanic or Latino/A,37,4,4,1,8,1,6,7
534,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,39,5,3,7,4,3,5,5
535,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,42,5,5,2,10,3,2,6
536,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,60,5,2,5,7,2,3,7
537,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,12,5,5,4,6,3,4,6
538,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,22,4,2,4,10,4,7,7
539,Had COVID,Female,White,Not Hispanic or Latino/A,40,2,4,7,10,1,7,5
540,Hasn't had COVID,Female,White,Hispanic or Latino/A,53,2,2,1,4,5,7,4
541,Hasn't had COVID,Male,White,Hispanic or Latino/A,40,4,2,3,5,2,1,5
542,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,27,5,4,4,6,4,5,7
543,Hasn't had COVID,Female,White,Hispanic or Latino/A,47,2,3,3,4,5,6,3
544,Hasn't had COVID,Male,White,Hispanic or Latino/A,68,5,3,1,5,2,7,7
545,Had COVID,Male,White,Hispanic or Latino/A,38,4,5,6,1,3,7,5
546,Had COVID,Female,White,Not Hispanic or Latino/A,53,4,5,2,2,2,3,5
547,Had COVID,Female,Black or African American,Hispanic or Latino/A,20,5,3,1,9,3,5,7
548,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,46,2,3,5,9,3,5,4
549,Hasn't had COVID,Male,Black or African American,Hispanic or Latino/A,23,1,1,3,9,4,6,2
550,Hasn't had COVID,Female,White,Hispanic or Latino/A,26,5,8,1,3,2,4,7
551,Hasn't had COVID,Female,Black or African American,Hispanic or Latino/A,6,2,4,5,7,2,4,3
552,Had COVID,Male,Other,Hispanic or Latino/A,27,5,6,6,10,3,4,7
553,Hasn't had COVID,Female,Other,Not Hispanic or Latino/A,44,2,4,4,6,2,6,3
554,Had COVID,Male,Asian,Hispanic or Latino/A,70,2,5,1,10,4,5,6
555,Had COVID,Male,Asian,Hispanic or Latino/A,41,5,2,7,10,1,7,7
556,Hasn't had COVID,Male,White,Hispanic or Latino/A,52,3,1,5,5,1,7,5
557,Hasn't had COVID,Female,White,Hispanic or Latino/A,38,2,2,4,6,1,7,4
558,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,12,4,6,2,5,4,7,6
559,Hasn't had COVID,Male,Black or African American,Not Hispanic or Latino/A,54,4,3,4,4,4,7,4
560,Hasn't had COVID,Male,White,Hispanic or Latino/A,31,2,1,7,4,2,7,3
561,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,40,1,6,1,5,1,5,3
562,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,32,3,3,5,7,1,7,4
563,Hasn't had COVID,Female,Black or African American,Hispanic or Latino/A,42,5,4,1,6,2,7,6
564,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,27,3,2,2,5,5,5,4
565,Had COVID,Male,White,Not Hispanic or Latino/A,36,5,4,1,10,2,7,7
566,Hasn't had COVID,Male,Black or African American,Not Hispanic or Latino/A,53,3,4,5,3,5,7,3
567,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,33,3,4,5,10,5,6,5
568,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,47,3,4,3,10,1,6,6
569,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,43,3,4,1,7,3,3,5
570,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,21,3,7,1,7,3,5,5
571,Hasn't had COVID,Non-Binary or Transgender,White,Not Hispanic or Latino/A,17,2,1,2,7,5,7,4
572,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,34,3,7,3,7,3,6,5
